beta,gamma,deterministic_clean_cost,deterministic_adversarial_cost,deterministic_damage,noisy_clean_cost,noisy_adversarial_cost,noisy_damage
1.56,14300.256805339164,4416.001799513775,5083.713710767994,667.7119112542186,4670.9033870237035,5747.185090614026,1076.2817035903226
1.57,14391.925118193903,4414.772158100614,5053.192924127848,638.4207660272332,4667.193552362794,5692.213675334499,1025.020122971705
1.58,14483.593431048641,4413.577240827957,5025.560212122019,611.9829712940618,4663.615373658022,5642.37324841871,978.7578747606885
1.59,14575.26174390338,4412.415926684703,5000.407298764249,587.9913720795466,4660.1626056071,5596.956699298493,936.7940936913928
1.6,14666.930056758118,4411.2871340586735,4977.398864355558,566.1117302968842,4656.829386240813,5555.380664205333,898.5512779645205
1.61,14758.598369612857,4410.189819316724,4956.257160197826,546.0673408811017,4653.61020738673,5517.1598442531185,863.5496368663889
1.62,14850.266682467594,4409.1229754320675,4936.750315044131,527.6273396120632,4650.49988789314,5481.8874087194245,831.3875208262843
1.63,14941.934995322332,4408.085630658846,4918.6833487866015,510.5977181277558,4647.493549309858,5449.219877364552,801.726328054694
1.64,15033.60330817707,4407.076847249893,4901.891195791934,494.81434854204053,4644.586593762345,5418.865339705537,774.278745943192
1.65,15125.271621031809,4406.095720219914,4886.233237007371,480.13751678745666,4641.774683787692,5390.574188360288,748.7995045725957
1.66,15216.939933886546,4405.141376150474,4871.588976723215,466.44760057274107,4639.053723925945,5364.131766268825,725.0780423428805
1.67,15308.608246741283,4404.212972037348,4857.854596255406,453.6416242180585,4636.419843889404,5339.352485036406,702.932641147002
1.68,15400.276559596023,4403.309694178422,4844.94018557637,441.6304913979475,4633.86938315073,5316.0750843066835,682.2057011559536
1.69,15491.94487245076,4402.43075710131,4832.767503541334,430.3367464400244,4631.398876807819,5294.158783628106,662.7599068202871
1.7,15583.6131853055,4401.575402528051,4821.268153561446,419.6927510333944,4629.005042603386,5273.48013795146,644.4750953480743
1.71,15675.281498160237,4400.742898380251,4810.382088234495,409.63918985424425,4626.684768985409,5253.930451982944,627.2456829975345
1.72,15766.949811014976,4399.932537816965,4800.05637630705,400.1238384900853,4624.435104112169,5235.413641517053,610.9785374048843
1.73,15858.618123869714,4399.143638309537,4790.244180208569,391.10054189903167,4622.253245714443,5217.844454626989,595.5912089125459
1.74,15950.286436724453,4398.375540750048,4780.903903695272,382.5283629452242,4620.1365317342925,5201.146984373815,581.0104526395226
1.75,16041.95474957919,4397.62760859274,4771.9984777006375,374.3708691078973,4618.082431670761,5185.253419063006,567.1709873922446
1.76,16133.62306243393,4396.89922702688,4763.494759148607,366.59553212172705,4616.088538572153,5170.1029871535575,554.0144485814044
1.77,16225.291375288667,4396.18980218046,4755.36302253846,359.17322035800044,4614.152561613335,5155.641062503722,541.4885008903875
1.78,16316.959688143406,4395.4987603547215,4747.576528151183,352.07776779646156,4612.272319213634,5141.8184023569975,529.5460831433638
1.79,16408.628000998146,4394.825547285171,4740.111153810032,345.2856065248616,4610.445732642465,5128.590495749986,518.1447631075207
1.8,16500.296313852883,4394.169627432398,4732.945079619514,338.77545218711657,4608.670820077691,5115.917004180665,507.24618410297353
1.81,16591.96462670762,4393.53048329733,4726.058517046029,332.5280337486993,4606.945691075955,5103.761279709459,496.81558863350347
1.82,16683.632939562358,4392.9076147657315,4719.433475281118,326.52586051538674,4605.268541421779,5092.089948309443,486.8214068876632
1.83,16775.3012524171,4392.300538473566,4713.053559055504,320.75302058193756,4603.637648324977,5080.872548422465,477.2349000974882
1.84,16866.969565271836,4391.708787198765,4706.9037931138755,315.1950059151104,4602.051365939317,5070.081216391521,468.0298504522034
1.85,16958.637878126574,4391.131909275749,4700.970469342712,309.8385600669626,4600.508121177212,5059.690411850853,459.18229067364064
1.86,17050.30619098131,4390.56946803096,4695.241013240319,304.67154520935946,4599.006409795466,5049.676677282443,450.6702674869766
1.87,17141.97450383605,4390.021041241902,4689.703866933215,299.68282569131316,4597.544792733458,5040.018426898642,442.4736341651842
1.88,17233.642816690786,4389.48622061354,4684.348386416088,294.8621658025477,4596.121892686095,5030.695760760816,434.57386807472085
1.89,17325.311129545524,4388.964611278751,4679.1647510336625,290.2001397549111,4594.736390887949,5021.690300694209,426.9539098062605
1.9,17416.979442400265,4388.455831313925,4674.1438835517265,285.68805223780146,4593.387024101092,5012.98504507471,419.5980209736181
1.91,17508.647755255002,4387.959511274418,4669.27737939641,281.3178681219915,4592.0725817850025,5004.56424000684,412.4916582218375
1.92,17600.31606810974,4387.475293748569,4664.557443865065,277.08215011649554,4590.791903439626,4996.413264773315,405.6213613336886
1.93,17691.984380964477,4387.002832927943,4659.976836280548,272.974003352605,4589.543876107625,4988.518529750131,398.9746536425064
1.94,17783.65269381922,4386.5417941925625,4655.528820210205,268.98702601764217,4588.327432024474,4980.867385226467,392.53995320199374
1.95,17875.321006673956,4386.091853714002,4651.2071189999615,265.11526528595914,4587.1415464064885,4973.448039797685,386.30649339119645
1.96,17966.989319528693,4385.65269807194,4647.005875966696,261.3531778947563,4585.985235367721,4966.249487178318,380.26425181059767
1.97,18058.65763238343,4385.224023886602,4642.919618696454,257.6955948098521,4584.857553956924,4959.261440434537,374.403886477613
1.98,18150.32594523817,4384.805537463819,4638.943226957676,254.13768949385758,4583.757594304839,4952.4742727760695,368.7166784712308
1.99,18241.99425809291,4384.396954453854,4635.071903812899,250.67494935904506,4582.684483877233,4945.878964150674,363.1944802734406
2.0,18333.662570947647,4383.99799952373,4631.301149557978,247.30315003424766,4581.63738382409,4939.467052992492,357.8296691684027
